"ID","IS_PARKING_ENABLED","NAME","DISPLAY_NAME","OPENING_TIME","CLOSING_TIME","CATEGORY_TYPE_ID","PARKING_TYPE_ID","STRUCTURE_TYPE_ID","POWER_SUPPLY_AVAILABLE","SURVEILLANCE_AVAILABLE","VALET","PARKING_ID_NUMBER","PARKING_AGGREGATOR_ID","ADDRESS_ID","PHOTO_ID","CONTACT_DATA_ID","TICKET_SYSTEM_ID","OWNERSHIP_TYPE_ID","IS_PASS_AVAILABLE","CREATED_ON","CREATED_BY","MODIFIED_ON","MODIFIED_BY","GEOHASH","UNIQUE_ID","LOCATION_ID","COMPANY_ID","IS_ONLINE_BOOKABLE","MULTI_BOOKING_DAYS","IS_MULTI_DAYS_PARKING_ALLOWED","PARKPLUS_RATING","PARKING_DISABLE_ON","IS_CANCELLATION_AVAILABLE","IS_DUPLICATE_PARKING","IS_DISABLED_BY_ADMIN"
8312,1,Shakur Basti near Railway Station,Shakur Basti near Railway Station,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"10079",100002,8312,8292,2972,,100002,0,2023-06-05 18:53:19.000,SYSTEM,2024-02-16 17:44:29.000,SYSTEM,ttng5,"10079_562_13",10079,562,1,0,0,,,0,0,0
9185,1,Noida Sector 51 Metro Station-Noida,Noida Sector 51 Metro Station-Noida,1970-01-01 08:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"10462",100002,9185,9165,3845,,100002,0,2023-06-06 19:22:00.000,SYSTEM,2025-01-02 22:19:34.000,SYSTEM,ttp48,"10462_562_13",10462,562,1,0,0,,2023-07-31 12:20:53.000,0,0,0
9264,1,"Parking Opposite Yess Store-Sector 104, Noida","Parking Opposite Yess Store-Sector 104, Noida",1970-01-01 11:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"12239",100002,9264,9244,3924,,100002,0,2023-06-06 19:24:43.000,SYSTEM,2024-09-02 16:26:48.000,SYSTEM,ttp42,"12239_562_13",12239,562,1,0,0,,2023-07-31 12:28:32.000,0,0,0
8507,1,"Anupama Theatre Complex Parking- S C Road, Bengaluru","Anupama Theatre Complex Parking- S C Road, Bengaluru",1970-01-01 08:00:00.000,1970-01-01 22:00:00.000,100019,100004,100001,1,1,0,"12919",100002,8507,8487,3167,,100002,0,2023-06-05 19:01:13.000,SYSTEM,2023-12-06 18:33:32.000,SYSTEM,tdr1v,"12919_562_13",12919,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
11836,1,Raheja Universal,Raheja Universal,1970-01-01 07:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"13191",100002,11836,11796,6556,,100002,0,2024-05-14 13:37:49.000,SYSTEM,2025-05-01 11:45:55.000,SYSTEM,te7um,"13191_562_13",13191,562,1,0,0,,,0,0,0
8591,1,"Silk Institute Metro Station Gate B-Vakil Garden City, Bengaluru","Silk Institute Metro Station Gate B-Vakil Garden City, Bengaluru",1970-01-01 09:00:00.000,1970-01-01 21:00:00.000,100019,100004,100001,1,1,0,"13349",100002,8591,8571,3251,,100002,0,2023-06-05 19:06:08.000,SYSTEM,2025-08-11 13:26:58.000,SYSTEM,tdr1h,"13349_562_13",13349,562,0,0,0,,2023-09-25 05:43:38.000,0,0,0
8701,1,Colaba Bus Station,Colaba Bus Station,1970-01-01 08:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"14260",100002,8701,8681,3361,,100002,0,2023-06-05 19:11:19.000,SYSTEM,2025-05-20 16:51:00.000,SYSTEM,te7g9,"14260_562_13",14260,562,1,0,0,,2024-07-15 15:55:03.000,0,0,0
8766,1,MCGM Parking Lot- Borivali West,MCGM Parking Lot- Borivali West,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"14894",100002,8766,8746,3426,,100002,0,2023-06-05 19:13:56.000,SYSTEM,2024-03-12 13:04:51.000,SYSTEM,te7v3,"14894_562_13",14894,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
8778,1,parking Test,parking Test,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"15145",100002,8778,8758,3438,,100002,0,2023-06-05 19:14:02.000,SYSTEM,2025-03-13 15:42:15.000,SYSTEM,w1cv0,"15145_562_13",15145,562,1,4,1,,2024-05-18 16:09:11.000,0,0,0
8789,1,MCD Parking D.B Gupta Road Karol Bagh,MCD Parking D.B Gupta Road Karol Bagh,1970-01-01 10:00:00.000,1970-01-01 21:00:00.000,100019,100004,100001,1,1,0,"15229",100002,8789,8769,3449,,100002,0,2023-06-05 19:14:06.000,SYSTEM,2023-06-06 15:28:31.000,SYSTEM,ttngh,"15229_562_13",15229,562,1,0,0,,,0,0,0
