"ID","IS_PARKING_ENABLED","NAME","DISPLAY_NAME","OPENING_TIME","CLOSING_TIME","CATEGORY_TYPE_ID","PARKING_TYPE_ID","STRUCTURE_TYPE_ID","POWER_SUPPLY_AVAILABLE","SURVEILLANCE_AVAILABLE","VALET","PARKING_ID_NUMBER","PARKING_AGGREGATOR_ID","ADDRESS_ID","PHOTO_ID","CONTACT_DATA_ID","TICKET_SYSTEM_ID","OWNERSHIP_TYPE_ID","IS_PASS_AVAILABLE","CREATED_ON","CREATED_BY","MODIFIED_ON","MODIFIED_BY","GEOHASH","UNIQUE_ID","LOCATION_ID","COMPANY_ID","IS_ONLINE_BOOKABLE","MULTI_BOOKING_DAYS","IS_MULTI_DAYS_PARKING_ALLOWED","PARKPLUS_RATING","PARKING_DISABLE_ON","IS_CANCELLATION_AVAILABLE","IS_DUPLICATE_PARKING","IS_DISABLED_BY_ADMIN"
9038,1,Friends Car Parking Cyber City,Friends Car Parking Cyber City,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8633",100002,9038,9018,3698,,100002,0,2023-06-06 19:16:37.000,SYSTEM,2024-05-15 18:06:11.000,SYSTEM,ttnf4,"8633_562_13",8633,562,0,0,0,,2023-07-31 12:07:34.000,0,0,0
9039,1,DLF Phase 2 Near Belvedere Tower Oppsoite Building,DLF Phase 2 Near Belvedere Tower Oppsoite Building,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8626",100002,9039,9019,3699,,100002,0,2023-06-06 19:16:37.000,SYSTEM,2024-05-27 08:24:16.000,SYSTEM,ttnf4,"8626_562_13",8626,562,0,0,0,,2023-07-31 12:07:32.000,0,0,0
9041,1,Plot number 78 Saraswati Kunj Sector 63,Plot number 78 Saraswati Kunj Sector 63,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8609",100002,9041,9021,3701,,100002,0,2023-06-06 19:16:38.000,SYSTEM,2024-05-27 08:24:17.000,SYSTEM,ttncf,"8609_562_13",8609,562,0,0,0,,2023-07-31 12:05:18.000,0,0,0
9043,1,Plot 94 Saraswati Kunj Parking Near La Pinoz pizza,Plot 94 Saraswati Kunj Parking Near La Pinoz pizza,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8607",100002,9043,9023,3703,,100002,0,2023-06-06 19:16:39.000,SYSTEM,2024-05-27 08:24:18.000,SYSTEM,ttncf,"8607_562_13",8607,562,0,0,0,,2023-07-31 12:05:18.000,0,0,0
9045,1,EDMC Parking Behind Metro Hospital,EDMC Parking Behind Metro Hospital,1970-01-01 10:00:00.000,1970-01-01 22:00:00.000,100019,100004,100001,1,1,0,"8624",100002,9045,9025,3705,,100002,0,2023-06-06 19:16:40.000,SYSTEM,2024-05-21 14:12:20.000,SYSTEM,ttnfy,"8624_562_13",8624,562,0,0,0,,2023-07-31 12:07:31.000,0,0,0
9046,1,DMRC Parking Mewla Maharajpur Faridabad,DMRC Parking Mewla Maharajpur Faridabad,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8629",100002,9046,9026,3706,,100002,0,2023-06-06 19:16:40.000,SYSTEM,2024-05-16 13:21:03.000,SYSTEM,ttncz,"8629_562_13",8629,562,0,0,0,,2023-07-31 12:07:33.000,0,0,0
9051,1,Yamuna Bank Metro Station,Yamuna Bank Metro Station,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"5940",100002,9051,9031,3711,,100002,0,2023-06-06 19:16:42.000,SYSTEM,2024-05-27 08:24:21.000,SYSTEM,ttnfy,"5940_562_13",5940,562,0,0,0,,2023-07-31 11:54:30.000,0,0,0
9053,1,SDMC Authorized Parking- Traders Association - Lajpat Nagar 2 Veer Savarkar Marg - User 10,SDMC Authorized Parking- Traders Association - Lajpat Nagar 2 Veer Savarkar Marg - User 10,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8676",100002,9053,9033,3713,,100002,0,2023-06-06 19:16:43.000,SYSTEM,2024-05-24 19:01:03.000,SYSTEM,ttnft,"8676_562_13",8676,562,0,0,0,,2023-07-31 12:07:37.000,0,0,0
9054,1,SDMC Authorized Parking- Traders Association - Lajpat Nagar 2 Veer Savarkar Marg - User 11,SDMC Authorized Parking- Traders Association - Lajpat Nagar 2 Veer Savarkar Marg - User 11,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8677",100002,9054,9034,3714,,100002,0,2023-06-06 19:16:44.000,SYSTEM,2024-05-14 13:17:18.000,SYSTEM,ttnft,"8677_562_13",8677,562,0,0,0,,2023-07-31 12:07:37.000,0,0,0
8901,1,SDMC Parking Near Appu Ghar,SDMC Parking Near Appu Ghar,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"3430",100002,8901,8881,3561,,100002,0,2023-06-06 19:11:18.000,SYSTEM,2024-05-17 16:06:18.000,SYSTEM,ttnfv,"3430_562_13",3430,562,0,0,0,,2023-07-31 11:54:23.000,0,0,0
8902,1,"Basement Parking Behind Sub Mall-Sector 27, Noida","Basement Parking Behind Sub Mall-Sector 27, Noida",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"3434",100002,8902,8882,3562,,100002,0,2023-06-06 19:11:19.000,SYSTEM,2024-05-27 08:23:10.000,SYSTEM,ttnfx,"3434_562_13",3434,562,0,0,0,,2023-07-31 11:54:24.000,0,0,0
8905,1,Dilshad Garden Metro Station,Dilshad Garden Metro Station,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"6139",100002,8905,8885,3565,,100002,0,2023-06-06 19:11:20.000,SYSTEM,2023-09-22 10:47:12.000,SYSTEM,ttngp,"6139_562_13",6139,562,1,10,1,,,0,0,0
8906,1,Pacific Mall D21-Dwarka,Pacific Mall D21-Dwarka,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100002,100004,100001,1,1,0,"7674",100002,8906,8886,3566,,100002,0,2023-06-06 19:11:21.000,SYSTEM,2024-03-05 18:28:02.000,SYSTEM,ttnf3,"7674_562_13",7674,562,0,0,0,,2023-07-31 11:57:03.000,0,0,0
8907,1,Shastri Nagar Metro Parking,Shastri Nagar Metro Parking,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7390",100002,8907,8887,3567,,100002,0,2023-06-06 19:11:21.000,SYSTEM,2024-05-27 08:23:12.000,SYSTEM,ttng7,"7390_562_13",7390,562,0,3,1,,2023-07-31 11:54:34.000,0,0,0
8908,1,Kanhaiya Nagar Metro Parking,Kanhaiya Nagar Metro Parking,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7392",100002,8908,8888,3568,,100002,0,2023-06-06 19:11:21.000,SYSTEM,2024-05-27 08:23:13.000,SYSTEM,ttng5,"7392_562_13",7392,562,0,15,1,,2023-07-31 11:54:34.000,0,0,0
8913,1,SDMC Parking Nafed,SDMC Parking Nafed,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7414",100002,8913,8893,3573,,100002,0,2023-06-06 19:11:23.000,SYSTEM,2024-05-27 08:23:16.000,SYSTEM,ttnfw,"7414_562_13",7414,562,0,15,1,,2023-07-31 11:54:36.000,0,0,0
8915,1,B Block Market Parking,B Block Market Parking,1970-01-01 08:00:00.000,1970-01-01 23:00:00.000,100019,100004,100001,1,1,0,"7503",100002,8915,8895,3575,,100002,0,2023-06-06 19:11:24.000,SYSTEM,2024-05-27 08:23:23.000,SYSTEM,ttng7,"7503_562_13",7503,562,0,15,1,,2023-07-31 11:54:38.000,0,0,0
8916,1,"Elante Mall-Sector 24, Gurugram","Elante Mall-Sector 24, Gurugram",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100002,100004,100001,1,1,0,"7559",100002,8916,8896,3576,,100002,0,2023-06-06 19:11:25.000,SYSTEM,2024-05-27 08:23:25.000,SYSTEM,ttnf4,"7559_562_13",7559,562,0,0,0,,2023-07-31 11:54:38.000,0,0,0
8917,1,"Noida Sector 2 and 3 Service Lane Parking-Sector 2, Noida","Noida Sector 2 and 3 Service Lane Parking-Sector 2, Noida",1970-01-01 09:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"7562",100002,8917,8897,3577,,100002,0,2023-06-06 19:11:25.000,SYSTEM,2024-05-27 08:23:25.000,SYSTEM,ttnfx,"7562_562_13",7562,562,0,0,0,,2023-07-31 11:54:39.000,0,0,0
8919,1,Azadpur Mandi Parking-Azadpur,Azadpur Mandi Parking-Azadpur,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7592",100002,8919,8899,3579,,100002,0,2023-06-06 19:11:26.000,SYSTEM,2024-05-27 08:23:26.000,SYSTEM,ttngk,"7592_562_13",7592,562,0,0,0,,2023-07-31 11:54:41.000,0,0,0
8922,1,SDMC Ground Parking Adjoining to LIC Building-Janakpuri,SDMC Ground Parking Adjoining to LIC Building-Janakpuri,1970-01-01 09:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"7606",100002,8922,8902,3582,,100002,0,2023-06-06 19:11:27.000,SYSTEM,2024-05-27 08:23:27.000,SYSTEM,ttnff,"7606_562_13",7606,562,0,0,0,,2023-07-31 11:54:45.000,0,0,0
8925,1,Roadside Parking In Front Of Logix Mall-Golf Course,Roadside Parking In Front Of Logix Mall-Golf Course,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7633",100002,8925,8905,3585,,100002,0,2023-06-06 19:11:29.000,SYSTEM,2024-05-21 11:30:12.000,SYSTEM,ttp48,"7633_562_13",7633,562,0,0,0,,2023-07-31 11:54:48.000,0,0,0
8926,1,"Parking Adjacent To Smart Bharat Mall- Sector 25, Noida","Parking Adjacent To Smart Bharat Mall- Sector 25, Noida",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7635",100002,8926,8906,3586,,100002,0,2023-06-06 19:11:29.000,SYSTEM,2024-05-17 17:37:38.000,SYSTEM,ttnfx,"7635_562_13",7635,562,0,0,0,,2023-07-31 11:54:48.000,0,0,0
8929,1,Harkesh Nagar metro Parking,Harkesh Nagar metro Parking,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7679",100002,8929,8909,3589,,100002,0,2023-06-06 19:11:30.000,SYSTEM,2024-05-27 08:23:30.000,SYSTEM,ttnfq,"7679_562_13",7679,562,0,0,0,,2023-07-31 11:57:04.000,0,0,0
8930,1,SDMC Underground parking NFC,SDMC Underground parking NFC,1970-01-01 07:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7524",100002,8930,8910,3590,,100002,0,2023-06-06 19:11:31.000,SYSTEM,2024-05-27 08:23:31.000,SYSTEM,ttnfm,"7524_562_13",7524,562,0,15,1,,2023-07-31 11:54:38.000,0,0,0
8933,1,"Awana Parking Bhoja Market- Sector 27, Noida","Awana Parking Bhoja Market- Sector 27, Noida",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7762",100002,8933,8913,3593,,100002,0,2023-06-06 19:11:32.000,SYSTEM,2024-05-24 17:55:36.000,SYSTEM,ttnfx,"7762_562_13",7762,562,0,2,1,,2023-07-31 11:57:12.000,0,0,0
8934,1,Parking In Front Of Haldiram-Gurugram	,Parking In Front Of Haldiram-Gurugram	,1970-01-01 10:00:00.000,1970-01-01 19:00:00.000,100019,100004,100001,1,1,0,"7776",100002,8934,8914,3594,,100002,0,2023-06-06 19:11:32.000,SYSTEM,2024-05-15 12:35:30.000,SYSTEM,ttncc,"7776_562_13",7776,562,0,0,0,,2023-07-31 11:57:12.000,0,0,0
8935,1,"Parking Behind Haldiram- Sector 29, Gurugram","Parking Behind Haldiram- Sector 29, Gurugram",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7777",100002,8935,8915,3595,,100002,0,2023-06-06 19:11:33.000,SYSTEM,2024-05-27 08:23:33.000,SYSTEM,ttncc,"7777_562_13",7777,562,0,30,1,,2023-07-31 11:57:13.000,0,0,0
8937,1,"Parking Behind Kingdom Of Dreams- Sector 29, Gurugram","Parking Behind Kingdom Of Dreams- Sector 29, Gurugram",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7781",100002,8937,8917,3597,,100002,0,2023-06-06 19:11:34.000,SYSTEM,2024-05-27 08:23:34.000,SYSTEM,ttncc,"7781_562_13",7781,562,0,0,0,,2023-07-31 11:57:14.000,0,0,0
8938,1,"32nd Milestone- Sector 15, Gurugram","32nd Milestone- Sector 15, Gurugram",1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100002,100004,100001,1,1,0,"7788",100002,8938,8918,3598,,100002,0,2023-06-06 19:11:34.000,SYSTEM,2024-04-09 18:21:22.000,SYSTEM,ttncc,"7788_562_13",7788,562,0,0,0,,2023-07-31 11:57:14.000,0,0,0
8941,1,Surrounding Eros Tower Nehru Place 1,Surrounding Eros Tower Nehru Place 1,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"7824",100002,8941,8921,3601,,100002,0,2023-06-06 19:11:35.000,SYSTEM,2024-04-05 17:22:52.000,SYSTEM,ttnfm,"7824_562_13",7824,562,0,0,0,,2023-07-31 11:57:19.000,0,0,0
8091,1,Parking Near KR Puram Railway Station Terminal 2,Parking Near KR Puram Railway Station Terminal 2,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8270",100002,8091,8071,2751,,100002,0,2023-06-05 18:45:07.000,SYSTEM,2024-05-14 19:02:36.000,SYSTEM,tdr1z,"8270_562_13",8270,562,1,0,0,,2024-03-12 13:10:30.000,0,0,0
8092,1,Under Bridge Parking Near KR Puram Railway Station,Under Bridge Parking Near KR Puram Railway Station,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8271",100002,8092,8072,2752,,100002,0,2023-06-05 18:45:08.000,SYSTEM,2024-05-28 13:12:13.000,SYSTEM,tdr1z,"8271_562_13",8271,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
8095,1,NMCD Parking near Gupta Tower,NMCD Parking near Gupta Tower,1970-01-01 09:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"8289",100002,8095,8075,2755,,100002,0,2023-06-05 18:45:09.000,SYSTEM,2023-06-06 14:59:25.000,SYSTEM,ttngk,"8289_562_13",8289,562,1,7,1,,,0,0,0
8098,1,Hotel Fun Stop-Bangalore	,Hotel Fun Stop-Bangalore	,1970-01-01 10:00:00.000,1970-01-01 22:00:00.000,100019,100004,100001,1,1,0,"8338",100002,8098,8078,2758,,100002,0,2023-06-05 18:45:11.000,SYSTEM,2023-12-07 11:54:26.000,SYSTEM,tdr4e,"8338_562_13",8338,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
8099,1,Hotel Fun Stop B-Bengaluru,Hotel Fun Stop B-Bengaluru,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8342",100002,8099,8079,2759,,100002,0,2023-06-05 18:45:11.000,SYSTEM,2023-12-07 11:50:02.000,SYSTEM,tdr4e,"8342_562_13",8342,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
8100,1,DMRC Parking Noida City Center,DMRC Parking Noida City Center,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8350",100002,8100,8080,2760,,100002,0,2023-06-05 18:45:12.000,SYSTEM,2024-03-28 14:09:04.000,SYSTEM,ttp48,"8350_562_13",8350,562,0,0,0,,,0,0,0
8105,1,MCD Parking Near Super Bazar,MCD Parking Near Super Bazar,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8373",100002,8105,8085,2765,,100002,0,2023-06-05 18:45:14.000,SYSTEM,2023-12-07 12:16:21.000,SYSTEM,ttnfu,"8373_562_13",8373,562,1,0,0,,,0,0,0
8107,1,DMRC Parking near Gate Number 1,DMRC Parking near Gate Number 1,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"9142",100002,8107,8087,2767,,100002,0,2023-06-05 18:45:15.000,SYSTEM,2023-12-07 11:56:38.000,SYSTEM,ttnfv,"9142_562_13",9142,562,1,0,0,,,0,0,0
8136,1,KSSIDC Parking Lot-Indra Nagar,KSSIDC Parking Lot-Indra Nagar,1970-01-01 00:00:00.000,1970-01-01 23:00:00.000,100019,100004,100001,1,1,0,"7112",100002,8136,8116,2796,,100002,0,2023-06-05 18:45:28.000,SYSTEM,2023-12-07 10:49:03.000,SYSTEM,tdr1p,"7112_562_13",7112,562,1,0,0,,2023-09-25 05:43:38.000,0,0,0
8139,1,MCD Parking near Taxi Stand,MCD Parking near Taxi Stand,1970-01-01 10:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"8604",100002,8139,8119,2799,,100002,0,2023-06-05 18:45:29.000,SYSTEM,2024-12-02 22:21:37.000,SYSTEM,ttnf7,"8604_562_13",8604,562,1,0,0,,,0,0,0
8142,1,MCD Parking near Yes Bank,MCD Parking near Yes Bank,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8618",100002,8142,8122,2802,,100002,0,2023-06-05 18:45:30.000,SYSTEM,2024-03-12 13:10:05.000,SYSTEM,ttnfz,"8618_562_13",8618,562,1,30,1,,,0,0,0
8144,1,SDMC Authorized Parking- Lajpat Nagar Firoz Gandhi User-8,SDMC Authorized Parking- Lajpat Nagar Firoz Gandhi User-8,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8667",100002,8144,8124,2804,,100002,0,2023-06-05 18:45:31.000,SYSTEM,2024-05-17 18:44:22.000,SYSTEM,ttnft,"8667_562_13",8667,562,0,0,0,,2024-03-12 13:10:03.000,0,0,0
8145,1,SDMC Authorized Parking- Lajpat Nagar Firoz Gandhi User-10,SDMC Authorized Parking- Lajpat Nagar Firoz Gandhi User-10,1970-01-01 08:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"8668",100002,8145,8125,2805,,100002,0,2023-06-05 18:45:31.000,SYSTEM,2024-05-24 17:52:13.000,SYSTEM,ttnft,"8668_562_13",8668,562,0,0,0,,2024-03-12 13:10:03.000,0,0,0
